PG.ProteinAccessions,GeneID,P10_01,P10_02,P10_03,P10_07,P10_08,P10_21,P10_22,P10_23,P10_24,P10_25,P10_26,P10_27,P10_28,P11_39,P11_01,P11_02,P11_03,P11_04,P11_05,P11_06,P11_07,P11_08,P11_09,P11_10,P11_11,P11_12,P11_13,P11_14,P11_15,P11_16,P11_17,P11_18,P11_19,P11_20,P11_21,P11_22,P11_23,P11_24,P11_25,P11_26,P11_27,P11_28,P11_29,P11_30,P11_31,P11_32
A0A075B6H7,IGKV3-7,7069.25293,4587.743652,2708.656738,5408.625488,9042.414063,2701.793457,3888.941895,4032.028564,3186.343262,5783.587402,4021.659424,1955.404785,4159.378418,14308.06543,6053.717773,10996.82715,4298.76709,2253.251465,5930.962891,8230.229492,3018.911865,11040.20801,3418.818848,7797.766602,1157.308105,4123.726563,1463.106567,4091.891846,7285.835938,9806.808594,4299.285645,5426.3125,11649.0957,1830.239136,8675.801758,3852.467529,7870.920898,14077.20703,11456.28027,2432.716797,12096.66699,5609.845703,4846.365723,3345.900879,3883.902832,6325.124512
A0A075B6H9,IGLV4-69,2470.269775,3736.309326,4990.206543,2637.368164,6248.548828,6393.370117,8081.426758,5601.692383,6640.669434,10711.36133,5480.333984,10141.11426,6390.469727,908.8807373,2968.394531,3291.243652,3954.20874,13962.88281,12108.44238,2601.046143,3491.811768,2140.714355,6010.036133,3487.097412,1874.719116,2432.894531,15494.50195,4117.638184,3829.04834,3043.999268,2955.469971,6648.121094,6202.651855,5450.489746,1193.804932,1206.317505,1701.758179,2123.266846,2464.827881,1116.582642,3873.593262,3740.187256,4441.701172,341.5354614,3236.091309,1178.699829
A0A075B6I0,IGLV8-61,973.4458008,467.5762329,447.6065979,450.9944458,492.3161621,NaN,253.6990509,327.0477905,1222.304199,1297.104614,661.9014893,1262.519897,89.846138,2336.940674,669.2324829,798.6149902,660.4072876,667.2475586,2577.163818,767.1885376,1825.946289,1005.111938,726.2905884,744.1480103,1434.957397,397.9277039,940.692749,5.348435402,748.4923096,456.3632507,233.9730682,794.7598877,921.4803467,407.3269653,2844.67334,5859.830078,2992.154541,4495.15918,3758.431641,955.430481,1384.764282,316.872467,1113.609741,1591.630615,1206.078857,136.0522003
A0A075B6I1,IGLV4-60,393.7017822,NaN,NaN,166.7050018,27.89664078,7.653996944,190.5521088,NaN,NaN,405.415802,NaN,NaN,14.9605608,NaN,174.9813385,7.832173824,NaN,NaN,230.7324524,NaN,6.00198555,134.6753235,NaN,37.35033798,502.3397522,NaN,1.88207376,863.5122681,8.060495377,NaN,NaN,230.6745605,NaN,NaN,18.97241592,166.6730652,60.68373108,75.02120972,120.1613693,NaN,129.1628113,NaN,NaN,231.0198517,NaN,NaN
A0A075B6I4,IGLV10-54,48.25866318,25.02643967,114.9108353,15.95423222,NaN,252.5500183,NaN,348.7746582,277.0647278,131.4059753,138.322403,480.3390198,8.418576241,22.3648777,144.8851013,297.0836792,208.2759857,293.2720642,33.97572327,103.585762,57.48122787,50.73269272,NaN,183.7671204,23.41763687,142.2324524,34.58342361,66.81259155,158.24086,97.07670593,51.60884476,21.12548828,43.05672836,211.5501404,NaN,181.1748199,133.139801,101.5368576,37.81147003,122.7916107,21.49890327,59.42744827,63.8490181,27.21996307,139.9138641,48.36424637
A0A075B6I9,IGLV7-46,10819.90137,4370.196289,7873.473145,14552.03809,10682.80176,6358.288086,4368.060547,9670.665039,8566.416016,17220.7207,14170.02832,16313.2793,12632.41211,14216.7207,5794.359375,30381.92383,6386.712402,5937.594727,13003.50586,5757.16748,16073.9541,30742.72266,5910.614258,7062.728516,6770.571289,4935.366699,9489.816406,8146.882813,10976.26172,7952.255371,2915.594238,11622.75293,4479.758789,10044.58301,4532.339844,5689.243652,8659.001953,14052.55859,5640.083496,3026.010254,6035.942871,2658.560303,4119.713379,7122.607422,1960.295044,1250.602661
A0A075B6J1,IGLV5-37,35.93332291,21.34800911,18.74205399,305.8823547,91.31124115,NaN,NaN,NaN,88.70355225,NaN,NaN,117.7756577,NaN,NaN,17.77787399,10.96618652,11.38249493,NaN,168.4947357,53.23285294,41.6979866,20.05942345,52.71564865,8.261131287,48.37105179,9.080899239,105.2792587,NaN,285.647583,10.39395142,NaN,4.877468586,71.71364594,104.4114151,100.8306885,19.82683563,NaN,117.9287567,36.29271317,31.58512306,NaN,14.76844978,NaN,8.184328079,4.324556828,22.24364662
A0A075B6J9,IGLV2-18,513.010498,482.5592957,851.6704712,594.7224731,307.7388916,633.5535889,1151.971191,530.0893555,1261.515747,1189.006104,1510.265747,1027.964233,751.2081909,189.7921906,652.5672607,356.0010376,540.4772949,1282.998535,1040.696533,158.2019196,1059.89624,447.8500061,1071.881958,330.3031921,543.1588745,220.5075073,1502.589966,375.51651,721.6112671,313.6114197,225.0110168,1287.331543,583.6721802,1994.131348,95.55487061,430.4162598,246.0261993,348.9298706,837.0174561,293.9776917,468.6732483,490.6646118,80.32932281,72.11464691,664.9397583,404.8902283
A0A075B6K0,IGLV3-16,2315.756104,49.52135086,727.2295532,NaN,65.48839569,91.65837097,268.9173584,261.6194458,739.3327637,NaN,NaN,364.7546082,558.0960083,158.8219452,2030.204712,NaN,67.09064484,456.3089905,NaN,143.1256409,115.4375916,655.6347656,NaN,164.6187134,98.45771027,159.5235138,NaN,126.1564102,112.0309601,334.1257935,108.144722,NaN,30.35311508,NaN,103.0902634,194.0860291,162.3243103,150.5574799,107.8951416,144.3309326,224.6030273,58.18213654,121.3980103,110.0414429,372.1663208,80.26324463
A0A075B6K2,IGLV3-12,10574.61328,11011.16797,14353.74512,7176.035156,8116.681152,15487.86035,10379.91406,12905.12793,10541.55566,25293.28906,18175.10742,13476.08008,8892.208984,7307.188477,2683.686279,85914.14844,5260.146973,6749.22168,3688.389404,4928.363281,4365.144043,3523.7229,9214.310547,3716.316162,3185.207031,5943.229004,6467.887207,5076.271973,3158.522705,6455.310547,3404.547852,7213.0625,5755.143066,4410.931641,4798.20752,1911.4552,2675.902344,3379.697754,3546.559814,7376.094727,6814.766602,11311.08398,5989.611816,1448.852051,2117.256836,2830.31958
A0A075B6K4,IGLV3-10,8752.358398,6497.225586,11158.19238,12346.21289,9037.46582,2219.174316,8551.038086,10234.37109,18689.67773,30271.48633,22934.65234,8601.810547,18043.04297,8012.318848,9720.992188,6267.633301,3445.234619,6368.307617,13054.08105,6174.865723,6331.484863,8941.631836,9244.225586,8186.080566,9970.079102,5016.28125,8462.611328,6525.084473,5735.713379,4012.848145,7453.274414,16270.77734,7911.606934,7766.678223,13749.2666,17093.36133,7844.450684,9045.460938,16473.41992,7654.358887,20078.37891,11250.87695,9678.702148,5850.124512,10708.89453,9203.254883
